genome,completeness,contamination,length,N50
AtH2023_ERR1135187_MAG08.fasta,85.97,2.4,3038691.0,15015.0
AtH2023_ERR1135187_MAG09.fasta,96.01,0.28,1884271.0,36230.0
AtH2023_ERR1135187_MAG10.fasta,87.41,1.36,1360169.0,5658.0
AtH2023_ERR1135187_MAG11.fasta,85.01,2.58,2216005.0,9600.0
AtH2023_ERR1135187_MAG12.fasta,93.03,2.16,2795334.0,16438.0
AtH2023_ERR1135187_MAG13.fasta,96.27,0.66,1508169.0,13612.0
AtH2023_ERR1135187_MAG14.fasta,85.68,3.47,1749797.0,8359.0
AtH2023_ERR1135187_MAG15.fasta,54.27,0.41,1428708.0,24477.0
AtH2023_ERR1135187_MAG16.fasta,90.01,2.17,1735461.0,9232.0
AtH2023_ERR1135187_MAG17.fasta,84.72,1.24,2550844.0,11661.0
AtH2023_ERR1135187_MAG18.fasta,95.58,0.36,1893289.0,11917.0
AtH2023_ERR1135187_MAG19.fasta,95.74,0.27,1577394.0,74838.0
AtH2023_ERR1135187_MAG20.fasta,100.0,1.3,2284907.0,44289.0
AtH2023_ERR1135187_MAG21.fasta,91.4,0.49,1570266.0,61458.0
AtH2023_ERR1135187_MAG22.fasta,98.9,0.04,1482689.0,44238.0
AtH2023_ERR1135188_MAG01.fasta,81.96,2.22,1776536.0,18767.0
AtH2023_ERR1135188_MAG02.fasta,99.77,0.42,2790608.0,186980.0
AtH2023_ERR1135188_MAG03.fasta,98.08,0.59,1900504.0,95339.0
AtH2023_ERR1135188_MAG04.fasta,89.32,1.08,2646014.0,21436.0
AtH2023_ERR1135188_MAG05.fasta,92.45,0.43,1448278.0,7521.0
AtH2023_ERR1135188_MAG06.fasta,99.91,0.15,1579786.0,22349.0
AtH2023_ERR1135188_MAG07.fasta,95.5,3.27,2301007.0,19372.0
AtH2023_ERR1135188_MAG08.fasta,83.3,1.8,1359807.0,6680.0
AtH2023_ERR1135188_MAG09.fasta,85.56,1.21,2375328.0,19577.0
AtH2023_ERR1135188_MAG10.fasta,89.81,0.23,2529833.0,17446.0
AtH2023_ERR1135188_MAG11.fasta,89.35,1.62,2520791.0,14254.0
AtH2023_ERR1135188_MAG12.fasta,97.23,0.84,2173184.0,22583.0
AtH2023_ERR1135188_MAG13.fasta,94.41,0.7,1634680.0,28537.0
AtH2023_ERR1135188_MAG14.fasta,87.66,3.63,2707297.0,10522.0
AtH2023_ERR1135189_MAG01.fasta,96.14,0.67,1018131.0,14269.0
AtH2023_ERR1135189_MAG02.fasta,100.0,0.09,1528508.0,77779.0
AtH2023_ERR1135189_MAG03.fasta,87.07,1.13,2243559.0,11028.0
AtH2023_ERR1135189_MAG04.fasta,95.22,1.57,2217727.0,10591.0
AtH2023_ERR1135189_MAG05.fasta,90.81,2.02,1109618.0,6294.0
AtH2023_ERR1135189_MAG06.fasta,97.45,0.61,2200344.0,28795.0
AtH2023_ERR1135189_MAG07.fasta,84.61,1.85,1350180.0,5985.0
AtH2023_ERR1135189_MAG08.fasta,93.86,3.86,2254467.0,15837.0
AtH2023_ERR1135189_MAG09.fasta,65.82,2.03,1505240.0,15707.0
AtH2023_ERR1135189_MAG10.fasta,96.78,0.81,1606176.0,22390.0
AtH2023_ERR1135189_MAG11.fasta,83.31,1.01,2026829.0,35158.0
AtH2023_ERR1135189_MAG12.fasta,94.67,0.5,1741362.0,27271.0
AtH2023_ERR1135190_MAG01.fasta,99.13,1.1,2504741.0,49094.0
AtH2023_ERR1135190_MAG02.fasta,83.27,0.69,2224268.0,26270.0
AtH2023_ERR1135190_MAG03.fasta,94.19,0.42,1574993.0,62883.0
AtH2023_ERR1135190_MAG04.fasta,80.75,3.08,3118578.0,12718.0
AtH2023_ERR1135190_MAG05.fasta,96.75,2.13,2715009.0,8701.0
AtH2023_ERR1135190_MAG06.fasta,78.04,1.15,2199434.0,8756.0
AtH2023_ERR1135190_MAG07.fasta,91.71,2.15,1512447.0,11551.0
AtH2023_ERR1135190_MAG08.fasta,94.53,1.15,1295646.0,9432.0
AtH2023_ERR1135190_MAG09.fasta,99.94,0.18,3040719.0,53775.0
AtH2023_ERR1135190_MAG10.fasta,90.52,0.48,1805713.0,7377.0
AtH2023_ERR1135190_MAG11.fasta,89.37,1.75,1588657.0,18459.0
AtH2023_ERR1135190_MAG12.fasta,99.89,0.51,2358912.0,54411.0
AtH2023_ERR1135191_MAG01.fasta,95.41,0.41,2560151.0,16238.0
AtH2023_ERR1135191_MAG02.fasta,98.59,1.07,1013618.0,41569.0
AtH2023_ERR1135191_MAG03.fasta,97.05,0.07,1643912.0,11799.0
AtH2023_ERR1135191_MAG04.fasta,94.02,0.34,1266879.0,50833.0
AtH2023_ERR1135191_MAG05.fasta,98.6,0.04,1626790.0,48631.0
AtH2023_ERR1135191_MAG06.fasta,94.53,2.36,1569543.0,9259.0
AtH2023_ERR1135191_MAG07.fasta,97.43,0.33,1289244.0,8668.0
AtH2023_ERR1135191_MAG08.fasta,98.37,0.04,3005785.0,24337.0
AtH2023_ERR1135191_MAG09.fasta,99.74,0.79,3115403.0,17543.0
AtH2023_ERR1135191_MAG10.fasta,81.61,1.03,1543013.0,7457.0
AtH2023_ERR1135191_MAG11.fasta,86.61,1.5,2925891.0,19868.0
AtH2023_ERR1135191_MAG12.fasta,90.21,2.23,3054097.0,17558.0
AtH2023_ERR1135191_MAG13.fasta,99.73,0.18,2502338.0,107604.0
AtH2023_ERR1135192_MAG01.fasta,95.9,4.25,1732145.0,9685.0
AtH2023_ERR1135192_MAG02.fasta,87.85,1.0,2216462.0,8422.0
AtH2023_ERR1135192_MAG03.fasta,93.11,0.02,1539073.0,16805.0
AtH2023_ERR1135192_MAG04.fasta,81.59,0.03,2241344.0,11712.0
AtH2023_ERR1135192_MAG05.fasta,85.57,3.67,2871290.0,13977.0
AtH2023_ERR1135192_MAG06.fasta,93.16,1.79,3153654.0,23820.0
AtH2023_ERR1135192_MAG07.fasta,97.16,6.95,3776225.0,11766.0
AtH2023_ERR1135192_MAG08.fasta,95.19,0.85,1435169.0,12987.0
AtH2023_ERR1135192_MAG09.fasta,90.16,4.53,1581736.0,9252.0
AtH2023_ERR1135192_MAG10.fasta,89.62,5.36,2098726.0,5225.0
AtH2023_ERR1135192_MAG11.fasta,83.23,0.91,2412751.0,7124.0
AtH2023_ERR1135192_MAG12.fasta,97.39,0.11,1501326.0,13425.0
AtH2023_ERR1135192_MAG13.fasta,95.12,0.59,2132977.0,28910.0
AtH2023_ERR1135192_MAG14.fasta,96.1,0.11,1336870.0,88086.0
AtH2023_ERR1135192_MAG15.fasta,83.68,0.21,2876468.0,20112.0
AtH2023_ERR1135192_MAG16.fasta,92.15,0.16,1251316.0,9762.0
AtH2023_ERR1135192_MAG17.fasta,94.45,1.03,1005674.0,5277.0
AtH2023_ERR1135193_MAG01.fasta,94.36,1.5,2202083.0,13479.0
AtH2023_ERR1135193_MAG02.fasta,96.19,1.63,1748628.0,15342.0
AtH2023_ERR1135193_MAG03.fasta,85.68,2.59,2901607.0,9976.0
AtH2023_ERR1135193_MAG04.fasta,97.43,0.02,1980943.0,91722.0
AtH2023_ERR1135193_MAG05.fasta,77.84,1.23,2422424.0,7313.0
AtH2023_ERR1135193_MAG06.fasta,95.47,0.64,1800080.0,10131.0
AtH2023_ERR1135193_MAG07.fasta,78.46,3.0,1590218.0,13179.0
AtH2023_ERR1135193_MAG08.fasta,99.7,0.01,1692366.0,22772.0
AtH2023_ERR1135193_MAG09.fasta,91.54,0.31,3155857.0,28155.0
AtH2023_ERR1135193_MAG10.fasta,85.37,0.33,2147066.0,64779.0
AtH2023_ERR1135194_MAG01.fasta,94.1,1.01,1813406.0,21647.0
AtH2023_ERR1135194_MAG02.fasta,99.4,9.1,2930918.0,22757.0
AtH2023_ERR1135194_MAG03.fasta,80.62,0.06,2103429.0,10566.0
AtH2023_ERR1135194_MAG04.fasta,86.14,0.21,1799392.0,11005.0
AtH2023_ERR1135194_MAG05.fasta,97.03,0.66,3306611.0,22001.0
AtH2023_ERR1135194_MAG06.fasta,85.7,1.02,2982363.0,12274.0
AtH2023_ERR1135194_MAG07.fasta,96.45,1.92,2643749.0,16696.0
AtH2023_ERR1135194_MAG08.fasta,94.19,0.36,776982.0,8610.0
AtH2023_ERR1135194_MAG09.fasta,96.21,0.01,1675151.0,15423.0
AtH2023_ERR1135194_MAG10.fasta,89.92,0.62,2144464.0,22338.0
AtH2023_ERR1135194_MAG11.fasta,84.25,0.22,1881067.0,34527.0
AtH2023_ERR1135194_MAG12.fasta,99.77,1.67,1852062.0,19955.0
AtH2023_ERR1135194_MAG13.fasta,94.44,0.59,2102431.0,23796.0
AtH2023_ERR1135195_MAG01.fasta,95.82,0.06,2015657.0,83089.0
AtH2023_ERR1135195_MAG02.fasta,97.45,2.45,1461485.0,22817.0
AtH2023_ERR1135195_MAG03.fasta,92.94,1.22,1539563.0,6173.0
AtH2023_ERR1135195_MAG04.fasta,88.48,0.16,1186558.0,6019.0
AtH2023_ERR1135195_MAG05.fasta,95.48,4.17,3431152.0,8720.0
AtH2023_ERR1135195_MAG06.fasta,92.08,2.0,2013242.0,13704.0
AtH2023_ERR1135195_MAG07.fasta,93.17,0.43,1836259.0,11097.0
AtH2023_ERR1135195_MAG08.fasta,80.88,1.63,2335103.0,8464.0
AtH2023_ERR1135195_MAG09.fasta,95.39,4.1,3132551.0,18241.0
AtH2023_ERR1135195_MAG10.fasta,90.63,0.11,2305303.0,12089.0
AtH2023_ERR1135195_MAG11.fasta,86.42,0.61,2320220.0,19545.0
AtH2023_ERR1135195_MAG12.fasta,70.55,1.63,507411.0,8328.0
AtH2023_ERR1135195_MAG13.fasta,95.1,1.06,1718338.0,17584.0
AtH2023_ERR1135196_MAG01.fasta,99.99,0.15,2167657.0,22757.0
AtH2023_ERR1135196_MAG02.fasta,88.78,6.98,1902506.0,5903.0
AtH2023_ERR1135196_MAG03.fasta,84.93,2.7,1365135.0,6182.0
AtH2023_ERR1135196_MAG04.fasta,90.25,0.09,2578778.0,38062.0
AtH2023_ERR1135196_MAG05.fasta,79.75,3.85,1844451.0,5247.0
AtH2023_ERR1135196_MAG06.fasta,84.25,1.14,1641464.0,5792.0
AtH2023_ERR1135196_MAG07.fasta,87.53,0.18,2029723.0,47758.0
AtH2023_ERR1135196_MAG08.fasta,79.91,1.97,2295971.0,11626.0
AtH2023_ERR1135196_MAG09.fasta,99.58,0.19,2652489.0,24697.0
AtH2023_ERR1135196_MAG10.fasta,92.8,1.03,3025199.0,23484.0
AtH2023_ERR1135196_MAG11.fasta,80.42,0.07,2058314.0,35214.0
AtH2023_ERR1135196_MAG12.fasta,97.47,0.14,2433145.0,28315.0
AtH2023_ERR1135197_MAG01.fasta,94.86,0.21,1894784.0,40173.0
AtH2023_ERR1135197_MAG02.fasta,98.83,0.31,2098446.0,24363.0
AtH2023_ERR1135197_MAG03.fasta,100.0,0.04,1509895.0,55959.0
AtH2023_ERR1135197_MAG04.fasta,98.6,0.03,1657158.0,56599.0
AtH2023_ERR1135197_MAG05.fasta,92.75,5.2,1936553.0,7632.0
AtH2023_ERR1135197_MAG06.fasta,51.8,0.14,1477937.0,5647.0
AtH2023_ERR1135197_MAG07.fasta,80.99,1.28,1767995.0,6344.0
AtH2023_ERR1135197_MAG08.fasta,86.18,1.35,2620029.0,12684.0
AtH2023_ERR1135197_MAG09.fasta,82.22,0.75,1660121.0,5188.0
AtH2023_ERR1135197_MAG10.fasta,99.15,0.03,2321144.0,64244.0
AtH2023_ERR1135197_MAG11.fasta,81.68,1.07,1998317.0,6945.0
AtH2023_ERR1135197_MAG12.fasta,96.16,2.36,2218802.0,14942.0
AtH2023_ERR1135197_MAG13.fasta,99.0,0.17,2010660.0,58670.0
AtH2023_ERR1135197_MAG14.fasta,86.32,2.04,2179494.0,12533.0
AtH2023_ERR1135197_MAG15.fasta,84.81,1.29,2151805.0,9478.0
AtH2023_ERR1135197_MAG16.fasta,86.94,1.17,1916758.0,29442.0
AtH2023_ERR1135197_MAG17.fasta,87.49,0.52,2517818.0,45427.0
AtH2023_ERR1135197_MAG18.fasta,84.92,0.07,2480205.0,23953.0
AtH2023_ERR1135198_MAG01.fasta,100.0,1.12,2299581.0,14234.0
AtH2023_ERR1135198_MAG02.fasta,86.06,0.47,2153422.0,9209.0
AtH2023_ERR1135198_MAG03.fasta,92.11,0.13,2526843.0,24471.0
AtH2023_ERR1135198_MAG04.fasta,91.2,5.1,2957456.0,8135.0
AtH2023_ERR1135198_MAG05.fasta,99.43,0.03,1549247.0,11846.0
AtH2023_ERR1135198_MAG06.fasta,82.52,0.72,1731389.0,12486.0
AtH2023_ERR1135198_MAG07.fasta,92.07,0.98,1838966.0,8209.0
AtH2023_ERR1135198_MAG08.fasta,94.74,1.61,2450669.0,22113.0
AtH2023_ERR1135198_MAG09.fasta,97.28,0.03,1574303.0,37706.0
AtH2023_ERR1135198_MAG10.fasta,93.18,5.17,1658172.0,6749.0
AtH2023_ERR1135198_MAG11.fasta,96.87,0.44,2327231.0,14326.0
AtH2023_ERR1135198_MAG12.fasta,81.87,1.16,1960298.0,11214.0
AtH2023_ERR1135198_MAG13.fasta,83.58,0.06,1639084.0,13939.0
AtH2023_ERR1135198_MAG14.fasta,95.35,2.32,1141496.0,10154.0
AtH2023_ERR1135198_MAG15.fasta,85.21,0.25,2156349.0,32573.0
AtH2023_ERR1135198_MAG16.fasta,93.86,0.38,1923036.0,53314.0
AtH2023_ERR1135199_MAG01.fasta,82.31,3.41,2697908.0,5333.0
AtH2023_ERR1135199_MAG02.fasta,99.79,4.61,2641543.0,121640.0
AtH2023_ERR1135199_MAG03.fasta,84.52,2.22,1447954.0,7286.0
AtH2023_ERR1135199_MAG04.fasta,78.99,2.38,1692396.0,10360.0
AtH2023_ERR1135199_MAG05.fasta,76.94,0.12,1574106.0,5880.0
AtH2023_ERR1135199_MAG06.fasta,96.2,0.26,1518594.0,19439.0
AtH2023_ERR1135199_MAG07.fasta,96.26,0.16,2104010.0,31806.0
AtH2023_ERR1135199_MAG08.fasta,85.41,4.09,2340560.0,17648.0
AtH2023_ERR1135199_MAG09.fasta,96.27,0.89,3145483.0,27879.0
AtH2023_ERR1135199_MAG10.fasta,84.73,2.6,1731671.0,8464.0
AtH2023_ERR1135199_MAG11.fasta,88.88,2.36,1769769.0,7559.0
AtH2023_ERR1135199_MAG12.fasta,84.34,0.37,2364340.0,27922.0
AtH2023_ERR1135199_MAG13.fasta,100.0,0.12,2436556.0,40401.0
AtH2023_ERR1135200_MAG01.fasta,75.76,2.4,2064719.0,9398.0
AtH2023_ERR1135200_MAG02.fasta,76.43,2.51,2341930.0,18649.0
AtH2023_ERR1135200_MAG03.fasta,85.85,2.14,1406778.0,5141.0
AtH2023_ERR1135200_MAG04.fasta,77.77,1.59,1810405.0,5115.0
AtH2023_ERR1135200_MAG05.fasta,85.44,0.18,2880140.0,15972.0
AtH2023_ERR1135200_MAG06.fasta,98.78,2.42,2156738.0,11627.0
AtH2023_ERR1135200_MAG07.fasta,100.0,3.01,3331584.0,9416.0
AtH2023_ERR1135200_MAG08.fasta,88.49,4.54,1825782.0,13366.0
AtH2023_ERR1135200_MAG09.fasta,93.58,0.32,2013086.0,12740.0
AtH2023_ERR1135200_MAG10.fasta,92.35,4.96,2630921.0,9305.0
AtH2023_ERR1135200_MAG11.fasta,95.32,2.69,2233969.0,8611.0
AtH2023_ERR1135200_MAG12.fasta,83.18,1.83,1973410.0,6575.0
AtH2023_ERR1135200_MAG13.fasta,91.32,4.35,2159172.0,8844.0
AtH2023_ERR1135200_MAG14.fasta,91.35,2.82,1902996.0,8215.0
AtH2023_ERR1135200_MAG15.fasta,84.15,2.46,2747678.0,7778.0
AtH2023_ERR1135200_MAG16.fasta,99.05,1.43,3254696.0,20700.0
AtH2023_ERR1135200_MAG17.fasta,97.6,0.1,1601315.0,95125.0
AtH2023_ERR1135200_MAG18.fasta,99.35,0.19,2389447.0,16689.0
AtH2023_ERR1135200_MAG19.fasta,73.34,4.16,1737872.0,5406.0
AtH2023_ERR1135200_MAG20.fasta,97.44,0.18,1978193.0,44175.0
AtH2023_ERR1135200_MAG21.fasta,87.04,5.15,2184862.0,48737.0
AtH2023_ERR1135201_MAG01.fasta,91.7,0.14,2263361.0,14143.0
AtH2023_ERR1135201_MAG02.fasta,99.58,0.13,2180846.0,46363.0
AtH2023_ERR1135201_MAG03.fasta,75.2,1.68,1937569.0,5056.0
AtH2023_ERR1135201_MAG04.fasta,90.25,2.44,1763506.0,9743.0
AtH2023_ERR1135201_MAG05.fasta,81.82,0.05,2591762.0,7208.0
AtH2023_ERR1135201_MAG06.fasta,81.33,0.82,1980022.0,5401.0
AtH2023_ERR1135201_MAG07.fasta,100.0,0.12,2319284.0,32695.0
AtH2023_ERR1135201_MAG08.fasta,90.14,0.72,2057885.0,11498.0
AtH2023_ERR1135201_MAG09.fasta,79.04,0.0,2052461.0,30159.0
AtH2023_ERR1135201_MAG10.fasta,84.66,6.05,1863518.0,12563.0
AtH2023_ERR1135201_MAG11.fasta,88.73,0.19,2919009.0,29533.0
AtH2023_ERR1135201_MAG12.fasta,71.02,1.57,1865526.0,7536.0
AtH2023_ERR1135201_MAG13.fasta,79.45,1.7,1699203.0,26231.0
AtH2023_ERR1135202_MAG1.fasta,97.35,0.07,1744683.0,67011.0
AtH2023_ERR1135202_MAG2.fasta,85.36,6.46,2074333.0,5624.0
AtH2023_ERR1135202_MAG3.fasta,72.1,0.64,828011.0,5337.0
AtH2023_ERR1135202_MAG4.fasta,91.28,2.64,1808110.0,7520.0
AtH2023_ERR1135202_MAG5.fasta,80.28,1.56,1705764.0,14271.0
AtH2023_ERR1135203_MAG01.fasta,81.15,2.31,1572287.0,8376.0
AtH2023_ERR1135203_MAG02.fasta,95.21,2.09,2077375.0,18688.0
AtH2023_ERR1135203_MAG03.fasta,88.99,4.26,2290160.0,42202.0
AtH2023_ERR1135203_MAG04.fasta,77.52,1.46,2208292.0,7250.0
AtH2023_ERR1135203_MAG05.fasta,75.8,0.64,1454872.0,6011.0
AtH2023_ERR1135203_MAG06.fasta,93.61,0.08,1885308.0,16323.0
AtH2023_ERR1135203_MAG07.fasta,91.87,4.94,2933066.0,24938.0
AtH2023_ERR1135203_MAG08.fasta,87.28,0.0,2303653.0,35132.0
AtH2023_ERR1135203_MAG09.fasta,95.46,0.16,2320885.0,43213.0
AtH2023_ERR1135203_MAG10.fasta,95.8,0.0,1492283.0,15508.0
AtH2023_ERR1135203_MAG11.fasta,84.51,0.32,2287431.0,30781.0
AtH2023_ERR1135204_MAG01.fasta,98.62,0.46,1989511.0,116317.0
AtH2023_ERR1135204_MAG02.fasta,93.1,1.65,2677193.0,8292.0
AtH2023_ERR1135204_MAG03.fasta,99.69,1.09,2962599.0,37404.0
AtH2023_ERR1135204_MAG04.fasta,97.35,2.96,2119963.0,19621.0
AtH2023_ERR1135204_MAG05.fasta,95.0,4.84,3361625.0,13620.0
AtH2023_ERR1135204_MAG06.fasta,84.08,0.53,2644953.0,10668.0
AtH2023_ERR1135204_MAG07.fasta,80.84,2.19,2588491.0,6783.0
AtH2023_ERR1135204_MAG08.fasta,99.89,0.23,2617686.0,44353.0
AtH2023_ERR1135204_MAG09.fasta,96.08,0.12,1403016.0,27550.0
AtH2023_ERR1135204_MAG10.fasta,97.27,0.07,2114853.0,28679.0
AtH2023_ERR1135204_MAG11.fasta,99.98,0.02,2004238.0,57065.0
AtH2023_ERR1135205_MAG01.fasta,91.67,4.14,2969094.0,18577.0
AtH2023_ERR1135205_MAG02.fasta,86.62,1.57,1994181.0,19851.0
AtH2023_ERR1135205_MAG03.fasta,83.45,1.41,2561910.0,9876.0
AtH2023_ERR1135205_MAG04.fasta,98.28,0.26,1596752.0,27054.0
AtH2023_ERR1135205_MAG05.fasta,77.55,2.02,1688230.0,6211.0
AtH2023_ERR1135205_MAG06.fasta,63.08,0.21,1058694.0,6495.0
AtH2023_ERR1135205_MAG07.fasta,73.39,0.31,2179547.0,7675.0
AtH2023_ERR1135205_MAG08.fasta,89.0,1.0,1840514.0,7453.0
AtH2023_ERR1135205_MAG09.fasta,65.65,1.45,1576758.0,5444.0
AtH2023_ERR1135205_MAG10.fasta,78.68,0.42,2002606.0,42895.0
AtH2023_ERR1135205_MAG11.fasta,90.7,4.69,2085558.0,7049.0
AtH2023_ERR1135205_MAG12.fasta,76.44,1.36,1893972.0,7791.0
AtH2023_ERR1135205_MAG13.fasta,82.79,0.3,2534476.0,16127.0
