Bin Id	Completeness	Completeness_General	Contamination	Completeness_Specific	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Additional_Notes	Quality_score	Sample	Ambigious_bases	Length_contigs	Length_scaffolds	N50	N_contigs	N_scaffolds	logN50
AtH2023_ERR1135181_MAG03	89.14	89.14	1.96	80.6	Gradient Boost (General Model)	11	0.895	6398	272.0813743218807	1510805	0.5	1659	None	79.34	ERR1135181	0	1510805	1510805	6398	342	342	8.763740720509464
AtH2023_ERR1135181_MAG04	87.61	90.17	2.13	87.61	Neural Network (Specific Model)	11	0.897	7228	304.6139008979049	3059240	0.51	3007	None	76.96000000000001	ERR1135181	0	3059240	3059240	7228	534	534	8.885717651712119
AtH2023_ERR1135181_MAG05	91.96	96.02	1.96	91.96	Neural Network (Specific Model)	11	0.895	18615	304.21580345285525	3065562	0.36	3012	None	82.16	ERR1135181	0	3065562	3065562	18615	319	319	9.831722986306817
AtH2023_ERR1135181_MAG06	88.21	88.21	2.14	80.97	Gradient Boost (General Model)	11	0.899	6286	279.79722046746684	1474856	0.52	1583	None	77.50999999999999	ERR1135181	0	1474856	1474856	6286	297	297	8.746080217357513
AtH2023_ERR1135181_MAG07	83.55	96.35	0.09	83.55	Neural Network (Specific Model)	11	0.891	14874	326.1702493551161	2550834	0.48	2326	None	83.1	ERR1135181	0	2550834	2550834	14874	253	253	9.607370001263243
AtH2023_ERR1135181_MAG08	94.73	94.73	0.31	87.44	Gradient Boost (General Model)	11	0.931	13703	313.7284482758621	1872739	0.38	1856	None	93.18	ERR1135181	0	1872739	1872739	13703	194	194	9.5253700659462
AtH2023_ERR1135181_MAG09	88.34	96.8	0.0	88.34	Neural Network (Specific Model)	11	0.884	44031	351.7188049209139	2713304	0.49	2276	None	88.34	ERR1135181	0	2713304	2713304	44031	109	109	10.692649210279308
AtH2023_ERR1135181_MAG10	81.01	81.01	1.73	84.88	Gradient Boost (General Model)	11	0.905	10692	282.8615107913669	1561077	0.51	1668	None	72.36	ERR1135181	0	1561077	1561077	10692	223	223	9.277251077258809
AtH2023_ERR1135181_MAG11	98.94	98.94	0.0	89.8	Gradient Boost (General Model)	11	0.893	24198	299.15646258503403	885517	0.44	882	None	98.94	ERR1135181	0	885517	885517	24198	43	43	10.094025264101424
AtH2023_ERR1135181_MAG12	87.19	94.29	1.29	87.19	Neural Network (Specific Model)	11	0.908	19282	323.689736346516	2267428	0.42	2124	None	80.74	ERR1135181	0	2267428	2267428	19282	191	191	9.866927297224326
AtH2023_ERR1135181_MAG13	85.52	87.79	0.0	85.52	Neural Network (Specific Model)	11	0.89	31523	357.93737270875766	2365766	0.47	1964	None	85.52	ERR1135181	0	2365766	2365766	31523	112	112	10.358472717107684
AtH2023_ERR1135181_MAG14	86.35	86.35	2.52	78.69	Gradient Boost (General Model)	11	0.919	5075	268.95530353569046	1313980	0.45	1499	None	73.75	ERR1135181	0	1313980	1313980	5075	307	307	8.532081803909987
AtH2023_ERR1135181_MAG15	90.91	95.01	0.79	90.91	Neural Network (Specific Model)	11	0.913	19563	358.1120867768595	2274142	0.5	1936	None	86.96	ERR1135181	0	2274142	2274142	19563	159	159	9.881395306061313
AtH2023_ERR1135182_MAG1	98.74	98.74	0.0	99.73	Gradient Boost (General Model)	11	0.898	44514	332.5374318294497	2235471	0.42	2017	None	98.74	ERR1135182	0	2235471	2235471	44514	143	143	10.70355902541758
AtH2023_ERR1135182_MAG2	94.34	94.34	0.14	90.94	Gradient Boost (General Model)	11	0.894	21157	306.34090909090907	1760855	0.52	1716	None	93.64	ERR1135182	0	1760855	1760855	21157	121	121	9.959726098983316
AtH2023_ERR1135182_MAG3	84.94	87.62	0.07	84.94	Neural Network (Specific Model)	11	0.888	33229	342.6617050067659	2562891	0.48	2217	None	84.59	ERR1135182	0	2562891	2562891	33229	143	143	10.411178267606632
AtH2023_ERR1135182_MAG4	96.67	96.67	1.13	88.17	Gradient Boost (General Model)	11	0.886	12212	296.6826535186015	2237824	0.48	2231	None	91.02	ERR1135182	0	2237824	2237824	12212	262	262	9.410174353854767
AtH2023_ERR1135182_MAG5	92.83	94.39	1.15	92.83	Neural Network (Specific Model)	11	0.888	27666	351.55082848186294	2648863	0.46	2233	None	87.08	ERR1135182	0	2648863	2648863	27666	164	164	10.22795950143476
AtH2023_ERR1135182_MAG6	87.64	87.64	0.58	68.65	Gradient Boost (General Model)	11	0.951	5460	323.5207687538748	1643332	0.55	1613	None	84.74	ERR1135182	0	1643332	1643332	5460	359	359	8.605204068738951
AtH2023_ERR1135182_MAG7	95.73	95.73	3.06	91.6	Gradient Boost (General Model)	11	0.924	9913	303.3714859437751	1957743	0.38	1992	None	80.43	ERR1135182	0	1957743	1957743	9913	292	292	9.201602306032898
AtH2023_ERR1135182_MAG8	91.63	94.29	0.44	91.63	Neural Network (Specific Model)	11	0.913	25980	336.3748621830209	3002979	0.47	2721	None	89.42999999999999	ERR1135182	0	3002979	3002979	25980	236	236	10.165082290224593
AtH2023_ERR1135183_MAG1	98.48	98.48	0.06	97.25	Gradient Boost (General Model)	11	0.901	52390	344.7407407407408	2073118	0.42	1809	None	98.18	ERR1135183	0	2073118	2073118	52390	85	85	10.866471012402265
AtH2023_ERR1135183_MAG2	90.88	94.38	0.04	90.88	Neural Network (Specific Model)	11	0.889	27189	345.5699074074074	2514828	0.47	2160	None	90.68	ERR1135183	0	2514828	2514828	27189	148	148	10.210567758722892
AtH2023_ERR1135183_MAG3	82.5	98.75	0.76	82.5	Neural Network (Specific Model)	11	0.916	17877	324.97400442477874	1920437	0.44	1808	None	78.7	ERR1135183	0	1920437	1920437	17877	208	208	9.791270249415089
AtH2023_ERR1135183_MAG4	91.09	97.22	0.34	91.09	Neural Network (Specific Model)	11	0.897	18557	292.7219917012448	1412751	0.41	1446	None	89.39	ERR1135183	0	1412751	1412751	18557	124	124	9.82860235534434
AtH2023_ERR1135183_MAG5	99.92	96.79	0.94	99.92	Neural Network (Specific Model)	11	0.896	40407	338.89193710271	3386006	0.51	2989	None	95.22	ERR1135183	0	3386006	3386006	40407	138	138	10.606758316266925
AtH2023_ERR1135183_MAG6	99.79	96.49	0.77	99.79	Neural Network (Specific Model)	11	0.892	48926	324.84745141180787	2972228	0.39	2727	None	95.94	ERR1135183	0	2972228	2972228	48926	111	111	10.79806423150353
AtH2023_ERR1135183_MAG7	87.51	89.87	1.17	87.51	Neural Network (Specific Model)	11	0.885	16796	330.85320322443783	2641911	0.49	2357	None	81.66000000000001	ERR1135183	0	2641911	2641911	16796	257	257	9.728896041804084
AtH2023_ERR1135183_MAG8	69.71	69.71	0.02	48.28	Gradient Boost (General Model)	11	0.891	29656	290.16590389016017	852865	0.59	874	None	69.61	ERR1135183	0	852865	852865	29656	49	49	10.297419744830568
AtH2023_ERR1135183_MAG9	95.31	95.31	0.0	85.19	Gradient Boost (General Model)	11	0.905	124104	320.3205128205128	827198	0.46	780	None	95.31	ERR1135183	0	827198	827198	124104	9	9	11.728875202744169
AtH2023_ERR1135184_MAG01	89.57	92.8	3.28	89.57	Neural Network (Specific Model)	11	0.871	9697	322.12606168976305	2479214	0.49	2237	None	73.16999999999999	ERR1135184	0	2479214	2479214	9697	401	401	9.179571838304549
AtH2023_ERR1135184_MAG02	82.47	77.73	2.77	82.47	Neural Network (Specific Model)	11	0.899	8199	283.14789753504107	1951987	0.41	2069	None	68.62	ERR1135184	0	1951987	1951987	8199	388	388	9.011767474596178
AtH2023_ERR1135184_MAG03	82.75	94.42	1.03	82.75	Neural Network (Specific Model)	11	0.894	7296	270.7912371134021	1408558	0.39	1552	None	77.6	ERR1135184	0	1408558	1408558	7296	251	251	8.895081531754167
AtH2023_ERR1135184_MAG04	84.58	86.09	0.07	84.58	Neural Network (Specific Model)	11	0.911	24885	356.51433857539314	2534956	0.49	2162	None	84.23	ERR1135184	0	2534956	2534956	24885	161	161	10.122020491292654
AtH2023_ERR1135184_MAG05	86.68	95.11	0.33	86.68	Neural Network (Specific Model)	11	0.892	22739	361.82054858205487	2614068	0.5	2151	None	85.03	ERR1135184	0	2614068	2614068	22739	189	189	10.03183679096379
AtH2023_ERR1135184_MAG06	76.52	92.73	0.25	76.52	Neural Network (Specific Model)	11	0.895	10079	277.3617463617464	1340166	0.34	1443	None	75.27	ERR1135184	0	1340166	1340166	10079	179	179	9.218209330354878
AtH2023_ERR1135184_MAG07	98.24	98.24	0.71	93.31	Gradient Boost (General Model)	11	0.908	30168	337.91408533021627	1907302	0.42	1711	None	94.69	ERR1135184	0	1907302	1907302	30168	92	92	10.314537038938193
AtH2023_ERR1135184_MAG08	99.21	99.84	0.01	99.21	Neural Network (Specific Model)	11	0.878	15109	287.89840255591054	1536020	0.39	1565	None	99.16	ERR1135184	0	1536020	1536020	15109	151	151	9.62304587173984
AtH2023_ERR1135184_MAG09	86.95	93.5	0.0	86.95	Neural Network (Specific Model)	11	0.883	40130	346.57553956834533	2613519	0.46	2224	None	86.95	ERR1135184	0	2613519	2613519	40130	105	105	10.599879463260962
AtH2023_ERR1135184_MAG10	89.06	92.65	0.34	89.06	Neural Network (Specific Model)	11	0.875	13804	346.4431291816778	2305209	0.52	1943	None	87.36	ERR1135184	0	2305209	2305209	13804	222	222	9.532713684217894
AtH2023_ERR1135185_MAG1	87.98	87.98	4.86	93.88	Gradient Boost (General Model)	11	0.882	7068	357.24060751398883	3036271	0.52	2502	None	63.68000000000001	ERR1135185	0	3036271	3036271	7068	609	609	8.863332833439587
AtH2023_ERR1135185_MAG2	82.64	81.93	0.19	82.64	Neural Network (Specific Model)	11	0.861	24512	358.98396793587176	2495168	0.55	1996	None	81.69	ERR1135185	0	2495168	2495168	24512	214	214	10.106918072540315
AtH2023_ERR1135185_MAG3	80.01	93.14	1.04	80.01	Neural Network (Specific Model)	11	0.878	7345	338.59417040358744	2575631	0.55	2230	None	74.81	ERR1135185	0	2575631	2575631	7345	445	445	8.901775088607979
AtH2023_ERR1135185_MAG4	91.41	95.54	1.6	91.41	Neural Network (Specific Model)	11	0.889	10370	321.1354392038079	2501776	0.51	2311	None	83.41	ERR1135185	0	2501776	2501776	10370	337	337	9.246672301223573
AtH2023_ERR1135185_MAG5	82.69	92.12	0.1	82.69	Neural Network (Specific Model)	11	0.872	8582	322.02208353336533	2304406	0.48	2083	None	82.19	ERR1135185	0	2304406	2304406	8582	360	360	9.05742226555147
AtH2023_ERR1135185_MAG6	91.73	93.14	0.04	91.73	Neural Network (Specific Model)	11	0.887	32775	355.23251417769376	2539122	0.46	2116	None	91.53	ERR1135185	0	2539122	2539122	32775	130	130	10.3974213086319
AtH2023_ERR1135185_MAG7	99.75	99.83	0.32	99.75	Neural Network (Specific Model)	11	0.886	22259	292.9184038117928	1663534	0.39	1679	None	98.15	ERR1135185	0	1663534	1663534	22259	139	139	10.010501700190613
AtH2023_ERR1135186_MAG1	90.25	87.08	0.14	90.25	Neural Network (Specific Model)	11	0.867	26894	355.47892720306515	2565933	0.52	2088	None	89.55	ERR1135186	0	2565933	2565933	26894	201	201	10.199658492383817
AtH2023_ERR1135186_MAG2	52.13	63.42	0.1	52.13	Neural Network (Specific Model)	11	0.885	15931	289.44013490725126	1162004	0.53	1186	None	51.63	ERR1135186	0	1162004	1162004	15931	150	150	9.676022175572896
AtH2023_ERR1135186_MAG3	91.69	92.26	1.28	91.69	Neural Network (Specific Model)	11	0.877	8012	329.9120192307692	2344768	0.49	2080	None	85.28999999999999	ERR1135186	0	2344768	2344768	8012	392	392	8.988695696785708
AtH2023_ERR1135186_MAG4	91.89	95.86	0.28	91.89	Neural Network (Specific Model)	11	0.887	12046	307.8873971416198	2399824	0.42	2309	None	90.49	ERR1135186	0	2399824	2399824	12046	267	267	9.396487933603666
AtH2023_ERR1135186_MAG5	92.41	99.38	0.01	92.41	Neural Network (Specific Model)	11	0.883	15197	277.28281068524973	1617982	0.39	1722	None	92.36	ERR1135186	0	1617982	1617982	15197	171	171	9.628853318933604
AtH2023_ERR1135186_MAG6	85.18	92.5	1.79	85.18	Neural Network (Specific Model)	11	0.893	16697	283.9794648413192	1530642	0.39	1607	None	76.23	ERR1135186	0	1530642	1530642	16697	143	143	9.722984341548957
AtH2023_ERR1135186_MAG7	81.9	89.84	0.38	81.9	Neural Network (Specific Model)	11	0.87	17881	357.38549160671465	2054409	0.55	1668	None	80.0	ERR1135186	0	2054409	2054409	17881	178	178	9.791493975575204
AtH2023_ERR1135186_MAG8	89.43	95.64	4.92	89.43	Neural Network (Specific Model)	11	0.896	28529	350.9924170616114	2476525	0.47	2110	None	64.83000000000001	ERR1135186	0	2476525	2476525	28529	138	138	10.258676392769557
AtH2023_ERR1135186_MAG9	94.86	92.25	0.27	94.86	Neural Network (Specific Model)	11	0.887	20390	306.5853914871256	1970540	0.44	1903	None	93.51	ERR1135186	0	1970540	1970540	20390	144	144	9.922799863568502
AtH2023_ERR1135187_MAG01	99.07	98.2	0.58	99.07	Neural Network (Specific Model)	11	0.908	39749	316.56868537666173	1413834	0.5	1354	None	96.17	ERR1135187	0	1413834	1413834	39749	58	58	10.590339962533324
AtH2023_ERR1135187_MAG02	90.19	90.19	3.27	91.17	Gradient Boost (General Model)	11	0.926	11515	322.7249114521842	1768712	0.5	1694	None	73.84	ERR1135187	0	1768712	1768712	11515	237	237	9.351405812254786
AtH2023_ERR1135187_MAG03	84.39	75.83	4.75	84.39	Neural Network (Specific Model)	11	0.91	8039	306.3973434535104	2656198	0.49	2635	None	60.64	ERR1135187	0	2656198	2656198	8039	568	568	8.99205997632796
AtH2023_ERR1135187_MAG04	84.97	87.35	1.76	84.97	Neural Network (Specific Model)	11	0.912	8404	322.918647649234	2008000	0.55	1893	None	76.17	ERR1135187	0	2008000	2008000	8404	391	391	9.036463061964891
AtH2023_ERR1135187_MAG05	86.95	87.54	1.01	86.95	Neural Network (Specific Model)	11	0.919	12258	352.6938502673797	2580678	0.55	2244	None	81.9	ERR1135187	0	2580678	2580678	12258	290	290	9.413934064045677
AtH2023_ERR1135187_MAG06	99.47	98.31	0.91	99.47	Neural Network (Specific Model)	11	0.905	27975	338.1387283236994	3290675	0.46	2941	None	94.92	ERR1135187	0	3290675	3290675	27975	257	257	10.239066533180123
AtH2023_ERR1135187_MAG07	90.82	90.82	2.06	76.53	Gradient Boost (General Model)	11	0.884	8152	270.12873399715505	1286491	0.58	1406	None	80.52	ERR1135187	0	1286491	1286491	8152	207	207	9.00601857490256
AtH2023_ERR1135187_MAG08	85.97	88.14	2.4	85.97	Neural Network (Specific Model)	11	0.899	15015	345.4693181818182	3038691	0.49	2640	None	73.97	ERR1135187	0	3038691	3038691	15015	311	311	9.616804980417433
AtH2023_ERR1135187_MAG09	96.01	96.01	0.28	89.12	Gradient Boost (General Model)	11	0.893	36230	317.8036219581211	1884271	0.52	1767	None	94.61	ERR1135187	0	1884271	1884271	36230	77	77	10.497642783889123
AtH2023_ERR1135187_MAG10	87.41	87.41	1.36	66.84	Gradient Boost (General Model)	11	0.943	5658	311.36918604651163	1360169	0.47	1376	None	80.61	ERR1135187	0	1360169	1360169	5658	296	296	8.640825751861513
AtH2023_ERR1135187_MAG11	85.01	87.0	2.58	85.01	Neural Network (Specific Model)	11	0.887	9600	331.2342251388188	2216005	0.51	1981	None	72.11	ERR1135187	0	2216005	2216005	9600	328	328	9.169518377455928
AtH2023_ERR1135187_MAG12	93.03	98.32	2.16	93.03	Neural Network (Specific Model)	11	0.899	16438	324.5222093472383	2795334	0.48	2589	None	82.23	ERR1135187	0	2795334	2795334	16438	265	265	9.707351006708445
AtH2023_ERR1135187_MAG13	96.27	96.27	0.66	81.01	Gradient Boost (General Model)	11	0.902	13612	309.01223657375937	1508169	0.53	1471	None	92.97	ERR1135187	0	1508169	1508169	13612	147	147	9.518707035620796
AtH2023_ERR1135187_MAG14	85.68	85.68	3.47	80.61	Gradient Boost (General Model)	11	0.887	8359	274.40021175224985	1749797	0.57	1889	None	68.33000000000001	ERR1135187	0	1749797	1749797	8359	293	293	9.031094081699155
AtH2023_ERR1135187_MAG15	54.27	67.05	0.41	54.27	Neural Network (Specific Model)	11	0.925	24477	352.8296	1428708	0.4	1250	None	52.220000000000006	ERR1135187	0	1428708	1428708	24477	79	79	10.10548918009691
AtH2023_ERR1135187_MAG16	90.01	90.01	2.17	87.55	Gradient Boost (General Model)	11	0.886	9232	266.4154564315353	1735461	0.56	1928	None	79.16000000000001	ERR1135187	0	1735461	1735461	9232	288	288	9.13043098874788
AtH2023_ERR1135187_MAG17	84.72	89.92	1.24	84.72	Neural Network (Specific Model)	11	0.865	11661	330.8382749326146	2550844	0.49	2226	None	78.52	ERR1135187	0	2550844	2550844	11661	318	318	9.364005219520331
AtH2023_ERR1135187_MAG18	95.58	95.58	0.36	91.34	Gradient Boost (General Model)	11	0.912	11917	320.84307178631053	1893289	0.42	1797	None	93.78	ERR1135187	0	1893289	1893289	11917	225	225	9.385721231090804
AtH2023_ERR1135187_MAG19	95.74	95.74	0.27	97.76	Gradient Boost (General Model)	11	0.907	74838	321.766846361186	1577394	0.45	1484	None	94.39	ERR1135187	0	1577394	1577394	74838	38	38	11.223081056353765
AtH2023_ERR1135187_MAG20	100.0	100.0	1.3	99.98	Gradient Boost (General Model)	11	0.916	44289	348.6159600997506	2284907	0.45	2005	None	93.5	ERR1135187	0	2284907	2284907	44289	92	92	10.698491618202198
AtH2023_ERR1135187_MAG21	91.4	99.2	0.49	91.4	Neural Network (Specific Model)	11	0.912	61458	348.6506199854121	1570266	0.52	1371	None	88.95	ERR1135187	0	1570266	1570266	61458	46	46	11.02610929366459
AtH2023_ERR1135187_MAG22	98.9	98.9	0.04	83.63	Gradient Boost (General Model)	11	0.901	44238	332.32116244411327	1482689	0.48	1342	None	98.7	ERR1135187	0	1482689	1482689	44238	65	65	10.697339427217706
AtH2023_ERR1135188_MAG01	81.96	95.64	2.22	81.96	Neural Network (Specific Model)	11	0.912	18767	344.32145130490136	1776536	0.47	1571	None	70.85999999999999	ERR1135188	0	1776536	1776536	18767	146	146	9.839855287291272
AtH2023_ERR1135188_MAG02	99.77	98.81	0.42	99.77	Neural Network (Specific Model)	11	0.909	186980	326.733024691358	2790608	0.37	2592	None	97.67	ERR1135188	0	2790608	2790608	186980	106	106	12.138756938245306
AtH2023_ERR1135188_MAG03	98.08	98.08	0.59	98.44	Gradient Boost (General Model)	11	0.922	95339	358.51870018393623	1900504	0.5	1631	None	95.13	ERR1135188	0	1900504	1900504	95339	26	26	11.4651942399268
AtH2023_ERR1135188_MAG04	89.32	87.94	1.08	89.32	Neural Network (Specific Model)	11	0.912	21436	353.8053602811951	2646014	0.49	2276	None	83.91999999999999	ERR1135188	0	2646014	2646014	21436	242	242	9.972827030614742
AtH2023_ERR1135188_MAG05	92.45	92.45	0.43	83.86	Gradient Boost (General Model)	11	0.894	7521	277.43453145057765	1448278	0.56	1558	None	90.3	ERR1135188	0	1448278	1448278	7521	238	238	8.925454386826402
AtH2023_ERR1135188_MAG06	99.91	98.52	0.15	99.91	Neural Network (Specific Model)	11	0.905	22349	327.8331043956044	1579786	0.44	1456	None	99.16	ERR1135188	0	1579786	1579786	22349	106	106	10.014536856311423
AtH2023_ERR1135188_MAG07	95.5	95.5	3.27	84.47	Gradient Boost (General Model)	11	0.935	19372	345.91184971098266	2301007	0.51	2076	None	79.15	ERR1135188	0	2301007	2301007	19372	183	183	9.87158400352312
AtH2023_ERR1135188_MAG08	83.3	89.28	1.8	83.3	Neural Network (Specific Model)	11	0.901	6680	274.9126344086022	1359807	0.39	1488	None	74.3	ERR1135188	0	1359807	1359807	6680	268	268	8.806873266530692
AtH2023_ERR1135188_MAG09	85.56	85.56	1.21	92.52	Gradient Boost (General Model)	11	0.886	19577	300.1469457496796	2375328	0.56	2341	None	79.51	ERR1135188	0	2375328	2375328	19577	187	187	9.882110686776542
AtH2023_ERR1135188_MAG10	89.81	96.99	0.23	89.81	Neural Network (Specific Model)	11	0.89	17446	352.6438291881745	2529833	0.5	2131	None	88.66	ERR1135188	0	2529833	2529833	17446	218	218	9.766865674993165
AtH2023_ERR1135188_MAG11	89.35	95.82	1.62	89.35	Neural Network (Specific Model)	11	0.894	14254	339.3258122743682	2520791	0.5	2216	None	81.25	ERR1135188	0	2520791	2520791	14254	257	257	9.564792848061815
AtH2023_ERR1135188_MAG12	97.23	97.23	0.84	95.35	Gradient Boost (General Model)	11	0.917	22583	314.4154064272212	2173184	0.38	2116	None	93.03	ERR1135188	0	2173184	2173184	22583	173	173	10.024952689817304
AtH2023_ERR1135188_MAG13	94.41	94.41	0.7	93.5	Gradient Boost (General Model)	11	0.884	28537	300.1747512437811	1634680	0.48	1608	None	90.91	ERR1135188	0	1634680	1634680	28537	89	89	10.258956769878605
AtH2023_ERR1135188_MAG14	87.66	85.41	3.63	87.66	Neural Network (Specific Model)	11	0.929	10522	344.1282786885246	2707297	0.51	2440	None	69.50999999999999	ERR1135188	0	2707297	2707297	10522	353	353	9.261223582290752
AtH2023_ERR1135189_MAG01	96.14	96.14	0.67	96.87	Gradient Boost (General Model)	11	0.91	14269	305.3405725567621	1018131	0.37	1013	None	92.79	ERR1135189	0	1018131	1018131	14269	126	126	9.565844630930576
AtH2023_ERR1135189_MAG02	100.0	100.0	0.09	91.12	Gradient Boost (General Model)	11	0.904	77779	335.71106259097525	1528508	0.49	1374	None	99.55	ERR1135189	0	1528508	1528508	77779	49	49	11.261626750851567
AtH2023_ERR1135189_MAG03	87.07	85.12	1.13	87.07	Neural Network (Specific Model)	11	0.9	11028	332.98864197530867	2243559	0.54	2025	None	81.41999999999999	ERR1135189	0	2243559	2243559	11028	295	295	9.308192772143688
