genome,secondary_cluster,threshold,cluster_method,comparison_algorithm,primary_cluster
ERR1135219_MAG4.fasta,9_1,0.010000000000000009,average,fastANI,9
AtH2023_SRR11489792_MAG04.fasta,9_2,0.010000000000000009,average,fastANI,9
AtH2023_SRR14369135_MAG08.fasta,9_2,0.010000000000000009,average,fastANI,9
AtH2023_SRR14369194_MAG11.fasta,9_2,0.010000000000000009,average,fastANI,9
AtH2023_SRR17241533_MAG07.fasta,9_2,0.010000000000000009,average,fastANI,9
AtH2023_SRR17241583_MAG44.fasta,9_2,0.010000000000000009,average,fastANI,9
AtH2023_ERR1135224_MAG01.fasta,9_3,0.010000000000000009,average,fastANI,9
AtH2023_ERR1135185_MAG1.fasta,9_4,0.010000000000000009,average,fastANI,9
AtH2023_SRR17241481_MAG02.fasta,9_5,0.010000000000000009,average,fastANI,9
AtH2023_ERR1135198_MAG04.fasta,10_1,0.010000000000000009,average,fastANI,10
AtH2023_ERR1135199_MAG01.fasta,10_1,0.010000000000000009,average,fastANI,10
AtH2023_ERR1135200_MAG15.fasta,10_1,0.010000000000000009,average,fastANI,10
AtH2023_ERR1135206_MAG5.fasta,10_1,0.010000000000000009,average,fastANI,10
AtH2023_SRR14369135_MAG01.fasta,10_2,0.010000000000000009,average,fastANI,10
AtH2023_SRR11185233_MAG08.fasta,11_1,0.010000000000000009,average,fastANI,11
AtH2023_SRR8960132_MAG05.fasta,11_1,0.010000000000000009,average,fastANI,11
AtH2023_SRR17241533_MAG08.fasta,11_2,0.010000000000000009,average,fastANI,11
AtH2023_SRR17241569_MAG20.fasta,11_2,0.010000000000000009,average,fastANI,11
AtH2023_SRR22328037_MAG03.fasta,11_3,0.010000000000000009,average,fastANI,11
AtH2023_SRR19906118_MAG09.fasta,12_0,0.010000000000000009,average,fastANI,12
AtH2023_ERR1135468_MAG03.fasta,13_0,0.010000000000000009,average,fastANI,13
AtH2023_SRR8655118_MAG14.fasta,14_1,0.010000000000000009,average,fastANI,14
SRR8655112_MAG20.fasta,14_1,0.010000000000000009,average,fastANI,14
AtH2023_ERR1135229_MAG06.fasta,15_1,0.010000000000000009,average,fastANI,15
AtH2023_SRR21357815_MAG05.fasta,15_2,0.010000000000000009,average,fastANI,15
AtH2023_SRR21357815_MAG14.fasta,16_1,0.010000000000000009,average,fastANI,16
AtH2023_SRR8198113_MAG03.fasta,16_2,0.010000000000000009,average,fastANI,16
AtH2023_SRR14369170_MAG02.fasta,17_1,0.010000000000000009,average,fastANI,17
AtH2023_SRR21357591_MAG02.fasta,17_2,0.010000000000000009,average,fastANI,17
AtH2023_SRR21357815_MAG22.fasta,17_3,0.010000000000000009,average,fastANI,17
AtH2023_SRR8198113_MAG09.fasta,17_4,0.010000000000000009,average,fastANI,17
AtH2023_SRR11185229_MAG51.fasta,17_5,0.010000000000000009,average,fastANI,17
AtH2023_ERR1135223_MAG5.fasta,18_1,0.010000000000000009,average,fastANI,18
AtH2023_ERR1135227_MAG1.fasta,18_1,0.010000000000000009,average,fastANI,18
AtH2023_ERR1135268_MAG08.fasta,18_2,0.010000000000000009,average,fastANI,18
AtH2023_ERR1135269_MAG5.fasta,18_2,0.010000000000000009,average,fastANI,18
AtH2023_ERR1135216_MAG2.fasta,18_3,0.010000000000000009,average,fastANI,18
AtH2023_SRR21357662_MAG03.fasta,18_4,0.010000000000000009,average,fastANI,18
AtH2023_SRR17241613_MAG39.fasta,18_5,0.010000000000000009,average,fastANI,18
AtH2023_SRR22460745_MAG3.fasta,18_6,0.010000000000000009,average,fastANI,18
AtH2023_SRR8655118_MAG16.fasta,19_1,0.010000000000000009,average,fastANI,19
SRR8655112_MAG15.fasta,19_1,0.010000000000000009,average,fastANI,19
AtH2023_SRR8655118_MAG21.fasta,20_1,0.010000000000000009,average,fastANI,20
SRR8655112_MAG12.fasta,20_2,0.010000000000000009,average,fastANI,20
AtH2023_SRR17241527_MAG16.fasta,21_0,0.010000000000000009,average,fastANI,21
AtH2023_SRR17241565_MAG21.fasta,22_0,0.010000000000000009,average,fastANI,22
AtH2023_SRR17241613_MAG40.fasta,23_1,0.010000000000000009,average,fastANI,23
AtH2023_SRR21376896_MAG13.fasta,23_1,0.010000000000000009,average,fastANI,23
AtH2023_SRR8960192_MAG13.fasta,24_1,0.010000000000000009,average,fastANI,24
AtH2023_SRR8960403_MAG12.fasta,24_2,0.010000000000000009,average,fastANI,24
AtH2023_SRR17241583_MAG07.fasta,25_1,0.010000000000000009,average,fastANI,25
AtH2023_SRR17241584_MAG06.fasta,25_1,0.010000000000000009,average,fastANI,25
AtH2023_SRR22328037_MAG10.fasta,25_2,0.010000000000000009,average,fastANI,25
AtH2023_SRR2329666_MAG08.fasta,25_3,0.010000000000000009,average,fastANI,25
AtH2023_ERR1135456_MAG04.fasta,25_4,0.010000000000000009,average,fastANI,25
AtH2023_ERR1135252_MAG07.fasta,26_1,0.010000000000000009,average,fastANI,26
AtH2023_ERR1135255_MAG5.fasta,26_1,0.010000000000000009,average,fastANI,26
AtH2023_ERR1135258_MAG3.fasta,26_1,0.010000000000000009,average,fastANI,26
AtH2023_ERR1135189_MAG09.fasta,26_2,0.010000000000000009,average,fastANI,26
AtH2023_ERR1135194_MAG11.fasta,26_2,0.010000000000000009,average,fastANI,26
AtH2023_ERR1135210_MAG2.fasta,26_2,0.010000000000000009,average,fastANI,26
AtH2023_ERR1135199_MAG07.fasta,26_3,0.010000000000000009,average,fastANI,26
AtH2023_ERR1135184_MAG08.fasta,27_1,0.010000000000000009,average,fastANI,27
AtH2023_ERR1135270_MAG8.fasta,27_2,0.010000000000000009,average,fastANI,27
AtH2023_ERR1135193_MAG08.fasta,27_3,0.010000000000000009,average,fastANI,27
AtH2023_ERR1135194_MAG09.fasta,27_3,0.010000000000000009,average,fastANI,27
AtH2023_ERR8314775_MAG1.fasta,27_4,0.010000000000000009,average,fastANI,27
AtH2023_SRR10209687_MAG01.fasta,27_5,0.010000000000000009,average,fastANI,27
AtH2023_SRR8960250_MAG11.fasta,27_6,0.010000000000000009,average,fastANI,27
AtH2023_SRR11185246_MAG09.fasta,27_7,0.010000000000000009,average,fastANI,27
AtH2023_SRR8960200_MAG04.fasta,27_8,0.010000000000000009,average,fastANI,27
AtH2023_SRR8960386_MAG12.fasta,27_9,0.010000000000000009,average,fastANI,27
AtH2023_ERR1135179_MAG5.fasta,27_10,0.010000000000000009,average,fastANI,27
SRR11551371_MAG5.fasta,27_11,0.010000000000000009,average,fastANI,27
AtH2023_ERR1135186_MAG5.fasta,27_12,0.010000000000000009,average,fastANI,27
AtH2023_SRR8960209_MAG4.fasta,27_13,0.010000000000000009,average,fastANI,27
AtH2023_SRR8960391_MAG1.fasta,27_14,0.010000000000000009,average,fastANI,27
AtH2023_SRR14369194_MAG08.fasta,27_15,0.010000000000000009,average,fastANI,27
AtH2023_SRR17241510_MAG11.fasta,27_16,0.010000000000000009,average,fastANI,27
AtH2023_ERR1135198_MAG05.fasta,28_1,0.010000000000000009,average,fastANI,28
ERR1135219_MAG2.fasta,28_2,0.010000000000000009,average,fastANI,28
AtH2023_SRR17241576_MAG22.fasta,29_1,0.010000000000000009,average,fastANI,29
AtH2023_SRR17241584_MAG07.fasta,29_1,0.010000000000000009,average,fastANI,29
AtH2023_SRR17241645_MAG02.fasta,29_1,0.010000000000000009,average,fastANI,29
AtH2023_ERR1135247_MAG02.fasta,30_0,0.010000000000000009,average,fastANI,30
SRR8655112_MAG03.fasta,31_0,0.010000000000000009,average,fastANI,31
AtH2023_ERR1135184_MAG02.fasta,32_1,0.010000000000000009,average,fastANI,32
AtH2023_ERR1135248_MAG4.fasta,32_2,0.010000000000000009,average,fastANI,32
SRR8198110_MAG09.fasta,32_3,0.010000000000000009,average,fastANI,32
AtH2023_SRR10209687_MAG15.fasta,32_4,0.010000000000000009,average,fastANI,32
AtH2023_ERR1135263_MAG3.fasta,33_1,0.010000000000000009,average,fastANI,33
AtH2023_ERR1135264_MAG5.fasta,33_1,0.010000000000000009,average,fastANI,33
AtH2023_ERR1135267_MAG3.fasta,33_1,0.010000000000000009,average,fastANI,33
AtH2023_ERR1135214_MAG04.fasta,33_2,0.010000000000000009,average,fastANI,33
AtH2023_ERR1135221_MAG1.fasta,33_2,0.010000000000000009,average,fastANI,33
AtH2023_ERR1135220_MAG4.fasta,33_3,0.010000000000000009,average,fastANI,33
AtH2023_ERR1135179_MAG7.fasta,33_4,0.010000000000000009,average,fastANI,33
AtH2023_ERR1135186_MAG9.fasta,33_4,0.010000000000000009,average,fastANI,33
AtH2023_ERR1135225_MAG4.fasta,33_4,0.010000000000000009,average,fastANI,33
AtH2023_ERR1135226_MAG3.fasta,33_4,0.010000000000000009,average,fastANI,33
AtH2023_ERR1135227_MAG6.fasta,33_4,0.010000000000000009,average,fastANI,33
AtH2023_ERR1135228_MAG2.fasta,33_4,0.010000000000000009,average,fastANI,33
AtH2023_ERR1135229_MAG01.fasta,33_4,0.010000000000000009,average,fastANI,33
AtH2023_ERR1135231_MAG1.fasta,33_4,0.010000000000000009,average,fastANI,33
AtH2023_ERR1135236_MAG1.fasta,33_4,0.010000000000000009,average,fastANI,33
AtH2023_ERR1135240_MAG5.fasta,33_4,0.010000000000000009,average,fastANI,33
AtH2023_ERR1135242_MAG3.fasta,33_4,0.010000000000000009,average,fastANI,33
AtH2023_ERR1135244_MAG1.fasta,33_4,0.010000000000000009,average,fastANI,33
AtH2023_ERR1135246_MAG1.fasta,33_4,0.010000000000000009,average,fastANI,33
AtH2023_ERR1135247_MAG08.fasta,33_4,0.010000000000000009,average,fastANI,33
AtH2023_ERR1135248_MAG6.fasta,33_4,0.010000000000000009,average,fastANI,33
AtH2023_ERR1135249_MAG4.fasta,33_4,0.010000000000000009,average,fastANI,33
AtH2023_ERR1135307_MAG2.fasta,33_4,0.010000000000000009,average,fastANI,33
AtH2023_ERR1135324_MAG5.fasta,33_4,0.010000000000000009,average,fastANI,33
AtH2023_ERR3211803_MAG3.fasta,33_4,0.010000000000000009,average,fastANI,33
AtH2023_ERR3211845_MAG11.fasta,33_4,0.010000000000000009,average,fastANI,33
AtH2023_ERR3211938_MAG2.fasta,33_4,0.010000000000000009,average,fastANI,33
AtH2023_ERR3211939_MAG3.fasta,33_4,0.010000000000000009,average,fastANI,33
AtH2023_ERR3211942_MAG1.fasta,33_4,0.010000000000000009,average,fastANI,33
AtH2023_ERR3211947_MAG5.fasta,33_4,0.010000000000000009,average,fastANI,33
AtH2023_ERR7197523_MAG1.fasta,33_4,0.010000000000000009,average,fastANI,33
AtH2023_SRR11489778_MAG17.fasta,33_4,0.010000000000000009,average,fastANI,33
AtH2023_SRR14369170_MAG07.fasta,33_4,0.010000000000000009,average,fastANI,33
AtH2023_SRR21357591_MAG24.fasta,33_4,0.010000000000000009,average,fastANI,33
AtH2023_SRR21357662_MAG07.fasta,33_4,0.010000000000000009,average,fastANI,33
ERR3211750_MAG1.fasta,33_4,0.010000000000000009,average,fastANI,33
AtH2023_ERR1135256_MAG8.fasta,33_5,0.010000000000000009,average,fastANI,33
AtH2023_SRR16235699_MAG02.fasta,33_6,0.010000000000000009,average,fastANI,33
AtH2023_ERR1135197_MAG02.fasta,33_7,0.010000000000000009,average,fastANI,33
AtH2023_ERR1135196_MAG01.fasta,33_8,0.010000000000000009,average,fastANI,33
AtH2023_ERR8314775_MAG4.fasta,33_9,0.010000000000000009,average,fastANI,33
AtH2023_SRR10209687_MAG04.fasta,33_10,0.010000000000000009,average,fastANI,33
ERR1135348_MAG2.fasta,33_11,0.010000000000000009,average,fastANI,33
AtH2023_SRR15732368_MAG06.fasta,33_12,0.010000000000000009,average,fastANI,33
AtH2023_SRR16235690_MAG07.fasta,33_13,0.010000000000000009,average,fastANI,33
AtH2023_ERR2020021_MAG4.fasta,33_14,0.010000000000000009,average,fastANI,33
AtH2023_SRR17241490_MAG16.fasta,34_1,0.010000000000000009,average,fastANI,34
AtH2023_SRR17241565_MAG17.fasta,34_2,0.010000000000000009,average,fastANI,34
AtH2023_ERR1135178_MAG3.fasta,34_3,0.010000000000000009,average,fastANI,34
AtH2023_ERR1135264_MAG1.fasta,34_4,0.010000000000000009,average,fastANI,34
AtH2023_ERR1135208_MAG3.fasta,34_5,0.010000000000000009,average,fastANI,34
AtH2023_SRR8960243_MAG05.fasta,35_1,0.010000000000000009,average,fastANI,35
AtH2023_SRR8960580_MAG17.fasta,35_2,0.010000000000000009,average,fastANI,35
AtH2023_SRR11184022_MAG3.fasta,35_3,0.010000000000000009,average,fastANI,35
AtH2023_SRR11124748_MAG3.fasta,35_4,0.010000000000000009,average,fastANI,35
AtH2023_SRR11125758_MAG5.fasta,35_4,0.010000000000000009,average,fastANI,35
AtH2023_SRR17241613_MAG19.fasta,35_5,0.010000000000000009,average,fastANI,35
AtH2023_ERR1135232_MAG2.fasta,36_1,0.010000000000000009,average,fastANI,36
AtH2023_SRR21357815_MAG04.fasta,36_2,0.010000000000000009,average,fastANI,36
AtH2023_ERR8314731_MAG2.fasta,36_3,0.010000000000000009,average,fastANI,36
AtH2023_ERR8314772_MAG8.fasta,36_4,0.010000000000000009,average,fastANI,36
AtH2023_ERR1135225_MAG1.fasta,36_5,0.010000000000000009,average,fastANI,36
AtH2023_ERR1135242_MAG4.fasta,36_5,0.010000000000000009,average,fastANI,36
ERR1135273_MAG01.fasta,36_6,0.010000000000000009,average,fastANI,36
AtH2023_SRR8655118_MAG17.fasta,37_1,0.010000000000000009,average,fastANI,37
SRR8655112_MAG27.fasta,37_1,0.010000000000000009,average,fastANI,37
AtH2023_SRR21357718_MAG4.fasta,38_1,0.010000000000000009,average,fastANI,38
AtH2023_SRR21357836_MAG1.fasta,38_2,0.010000000000000009,average,fastANI,38
AtH2023_SRR8655118_MAG19.fasta,39_1,0.010000000000000009,average,fastANI,39
SRR8655112_MAG17.fasta,39_1,0.010000000000000009,average,fastANI,39
AtH2023_ERR3211845_MAG09.fasta,40_1,0.010000000000000009,average,fastANI,40
AtH2023_ERR3211938_MAG4.fasta,40_1,0.010000000000000009,average,fastANI,40
AtH2023_ERR3211942_MAG5.fasta,40_1,0.010000000000000009,average,fastANI,40
AtH2023_SRR11125122_MAG4.fasta,40_1,0.010000000000000009,average,fastANI,40
AtH2023_SRR14369131_MAG06.fasta,40_1,0.010000000000000009,average,fastANI,40
AtH2023_SRR17241686_MAG29.fasta,40_1,0.010000000000000009,average,fastANI,40
AtH2023_SRR21357864_MAG03.fasta,40_1,0.010000000000000009,average,fastANI,40
AtH2023_SRR16235693_MAG05.fasta,40_2,0.010000000000000009,average,fastANI,40
AtH2023_SRR17241691_MAG24.fasta,41_0,0.010000000000000009,average,fastANI,41
AtH2023_SRR11184060_MAG2.fasta,42_0,0.010000000000000009,average,fastANI,42
AtH2023_SRR17241583_MAG14.fasta,43_1,0.010000000000000009,average,fastANI,43
SRR8198110_MAG18.fasta,43_2,0.010000000000000009,average,fastANI,43
AtH2023_SRR21357718_MAG3.fasta,44_0,0.010000000000000009,average,fastANI,44
AtH2023_ERR1135241_MAG7.fasta,45_1,0.010000000000000009,average,fastANI,45
AtH2023_ERR1135242_MAG1.fasta,45_1,0.010000000000000009,average,fastANI,45
AtH2023_SRR21357755_MAG3.fasta,45_2,0.010000000000000009,average,fastANI,45
AtH2023_ERR1135225_MAG2.fasta,46_1,0.010000000000000009,average,fastANI,46
AtH2023_ERR1135229_MAG02.fasta,46_1,0.010000000000000009,average,fastANI,46
AtH2023_ERR1135232_MAG3.fasta,46_1,0.010000000000000009,average,fastANI,46
AtH2023_ERR1135244_MAG2.fasta,46_1,0.010000000000000009,average,fastANI,46
AtH2023_SRR21357662_MAG10.fasta,46_2,0.010000000000000009,average,fastANI,46
AtH2023_SRR11125123_MAG2.fasta,47_1,0.010000000000000009,average,fastANI,47
AtH2023_SRR8960598_MAG05.fasta,47_1,0.010000000000000009,average,fastANI,47
AtH2023_SRR8960667_MAG3.fasta,47_1,0.010000000000000009,average,fastANI,47
AtH2023_SRR8960715_MAG03.fasta,47_1,0.010000000000000009,average,fastANI,47
AtH2023_SRR8960742_MAG09.fasta,47_1,0.010000000000000009,average,fastANI,47
SRR11124986_MAG2.fasta,47_2,0.010000000000000009,average,fastANI,47
AtH2023_SRR17241501_MAG04.fasta,47_3,0.010000000000000009,average,fastANI,47
AtH2023_SRR17241508_MAG05.fasta,47_3,0.010000000000000009,average,fastANI,47
AtH2023_SRR17241510_MAG17.fasta,47_3,0.010000000000000009,average,fastANI,47
AtH2023_SRR17241613_MAG12.fasta,47_3,0.010000000000000009,average,fastANI,47
AtH2023_SRR17241617_MAG01.fasta,47_3,0.010000000000000009,average,fastANI,47
AtH2023_SRR17241583_MAG33.fasta,47_4,0.010000000000000009,average,fastANI,47
AtH2023_SRR17241569_MAG02.fasta,47_5,0.010000000000000009,average,fastANI,47
AtH2023_SRR17241638_MAG38.fasta,47_6,0.010000000000000009,average,fastANI,47
AtH2023_ERR1855535_MAG02.fasta,47_7,0.010000000000000009,average,fastANI,47
AtH2023_SRR5240728_MAG02.fasta,47_7,0.010000000000000009,average,fastANI,47
AtH2023_ERR1135252_MAG01.fasta,47_8,0.010000000000000009,average,fastANI,47
AtH2023_ERR1135258_MAG2.fasta,47_8,0.010000000000000009,average,fastANI,47
AtH2023_ERR1135200_MAG03.fasta,47_9,0.010000000000000009,average,fastANI,47
AtH2023_SRR17241490_MAG05.fasta,47_10,0.010000000000000009,average,fastANI,47
AtH2023_ERR1135200_MAG13.fasta,48_0,0.010000000000000009,average,fastANI,48
AtH2023_ERR1135190_MAG02.fasta,49_1,0.010000000000000009,average,fastANI,49
AtH2023_ERR1135199_MAG13.fasta,49_1,0.010000000000000009,average,fastANI,49
AtH2023_ERR1135201_MAG07.fasta,49_1,0.010000000000000009,average,fastANI,49
AtH2023_ERR1135204_MAG08.fasta,49_1,0.010000000000000009,average,fastANI,49
AtH2023_ERR1135229_MAG08.fasta,49_1,0.010000000000000009,average,fastANI,49
AtH2023_SRR2329666_MAG12.fasta,49_1,0.010000000000000009,average,fastANI,49
AtH2023_SRR17241645_MAG13.fasta,50_0,0.010000000000000009,average,fastANI,50
AtH2023_ERR1135468_MAG01.fasta,51_1,0.010000000000000009,average,fastANI,51
ERR1135431_MAG6.fasta,51_2,0.010000000000000009,average,fastANI,51
AtH2023_SRR8960181_MAG05.fasta,51_3,0.010000000000000009,average,fastANI,51
AtH2023_SRR8960500_MAG06.fasta,51_3,0.010000000000000009,average,fastANI,51
AtH2023_ERR1855535_MAG12.fasta,51_4,0.010000000000000009,average,fastANI,51
AtH2023_SRR5240727_MAG20.fasta,51_4,0.010000000000000009,average,fastANI,51
AtH2023_SRR5240728_MAG10.fasta,51_4,0.010000000000000009,average,fastANI,51
AtH2023_ERR1135456_MAG11.fasta,51_5,0.010000000000000009,average,fastANI,51
AtH2023_ERR1135460_MAG3.fasta,51_5,0.010000000000000009,average,fastANI,51
AtH2023_ERR1135187_MAG20.fasta,51_6,0.010000000000000009,average,fastANI,51
AtH2023_ERR1135235_MAG8.fasta,51_7,0.010000000000000009,average,fastANI,51
AtH2023_ERR1135285_MAG05.fasta,51_8,0.010000000000000009,average,fastANI,51
AtH2023_SRR11183776_MAG1.fasta,51_9,0.010000000000000009,average,fastANI,51
AtH2023_ERR1135197_MAG14.fasta,52_1,0.010000000000000009,average,fastANI,52
AtH2023_ERR1135250_MAG01.fasta,52_2,0.010000000000000009,average,fastANI,52
AtH2023_SRR17241527_MAG34.fasta,53_0,0.010000000000000009,average,fastANI,53
AtH2023_SRR21357815_MAG06.fasta,54_1,0.010000000000000009,average,fastANI,54
AtH2023_SRR8198120_MAG19.fasta,54_2,0.010000000000000009,average,fastANI,54
AtH2023_SRR8960440_MAG14.fasta,54_3,0.010000000000000009,average,fastANI,54
AtH2023_ERR1135201_MAG10.fasta,55_1,0.010000000000000009,average,fastANI,55
AtH2023_SRR5240728_MAG07.fasta,55_2,0.010000000000000009,average,fastANI,55
AtH2023_ERR1855535_MAG08.fasta,56_0,0.010000000000000009,average,fastANI,56
AtH2023_SRR17241481_MAG30.fasta,57_1,0.010000000000000009,average,fastANI,57
AtH2023_SRR17241490_MAG34.fasta,57_1,0.010000000000000009,average,fastANI,57
AtH2023_SRR17241510_MAG40.fasta,57_1,0.010000000000000009,average,fastANI,57
AtH2023_SRR17241638_MAG35.fasta,57_1,0.010000000000000009,average,fastANI,57
AtH2023_SRR17241642_MAG41.fasta,57_1,0.010000000000000009,average,fastANI,57
AtH2023_SRR17241645_MAG11.fasta,57_1,0.010000000000000009,average,fastANI,57
AtH2023_SRR21357815_MAG21.fasta,57_1,0.010000000000000009,average,fastANI,57
AtH2023_SRR8960477_MAG17.fasta,57_1,0.010000000000000009,average,fastANI,57
AtH2023_SRR8960927_MAG04.fasta,57_1,0.010000000000000009,average,fastANI,57
AtH2023_SRR17241481_MAG21.fasta,58_1,0.010000000000000009,average,fastANI,58
AtH2023_SRR17241645_MAG36.fasta,58_1,0.010000000000000009,average,fastANI,58
AtH2023_SRR17241583_MAG21.fasta,58_2,0.010000000000000009,average,fastANI,58
AtH2023_SRR17241627_MAG18.fasta,58_3,0.010000000000000009,average,fastANI,58
AtH2023_SRR17241603_MAG25.fasta,58_4,0.010000000000000009,average,fastANI,58
AtH2023_SRR8960616_MAG17.fasta,59_1,0.010000000000000009,average,fastANI,59
AtH2023_SRR8960896_MAG24.fasta,59_1,0.010000000000000009,average,fastANI,59
AtH2023_SRR8960970_MAG13.fasta,59_1,0.010000000000000009,average,fastANI,59
AtH2023_SRR8960985_MAG08.fasta,59_1,0.010000000000000009,average,fastANI,59
SRR8960621_MAG12.fasta,59_1,0.010000000000000009,average,fastANI,59
AtH2023_SRR17241490_MAG19.fasta,59_2,0.010000000000000009,average,fastANI,59
AtH2023_SRR17241533_MAG29.fasta,59_2,0.010000000000000009,average,fastANI,59
AtH2023_SRR17241642_MAG34.fasta,59_2,0.010000000000000009,average,fastANI,59
AtH2023_SRR21357591_MAG25.fasta,59_2,0.010000000000000009,average,fastANI,59
AtH2023_SRR17241646_MAG14.fasta,59_3,0.010000000000000009,average,fastANI,59
AtH2023_SRR17241583_MAG06.fasta,59_4,0.010000000000000009,average,fastANI,59
AtH2023_ERR1135209_MAG01.fasta,60_0,0.010000000000000009,average,fastANI,60
AtH2023_SRR17241642_MAG15.fasta,61_1,0.010000000000000009,average,fastANI,61
SRR8198110_MAG11.fasta,61_2,0.010000000000000009,average,fastANI,61
AtH2023_SRR17241603_MAG29.fasta,61_3,0.010000000000000009,average,fastANI,61
AtH2023_SRR11185233_MAG13.fasta,61_4,0.010000000000000009,average,fastANI,61
AtH2023_SRR17241510_MAG19.fasta,61_5,0.010000000000000009,average,fastANI,61
AtH2023_SRR8198120_MAG09.fasta,61_6,0.010000000000000009,average,fastANI,61
AtH2023_SRR17241490_MAG26.fasta,61_7,0.010000000000000009,average,fastANI,61
AtH2023_ERR1135188_MAG07.fasta,61_8,0.010000000000000009,average,fastANI,61
AtH2023_SRR17241508_MAG29.fasta,62_1,0.010000000000000009,average,fastANI,62
AtH2023_SRR17241583_MAG38.fasta,62_2,0.010000000000000009,average,fastANI,62
AtH2023_ERR1135204_MAG04.fasta,62_3,0.010000000000000009,average,fastANI,62
AtH2023_SRR11185229_MAG40.fasta,63_1,0.010000000000000009,average,fastANI,63
AtH2023_SRR11185246_MAG23.fasta,63_1,0.010000000000000009,average,fastANI,63
AtH2023_SRR8960086_MAG1.fasta,63_1,0.010000000000000009,average,fastANI,63
AtH2023_SRR8960112_MAG06.fasta,63_1,0.010000000000000009,average,fastANI,63
